# 从输入日志里人工挑的领域词 / 通用词：日志里选过 ≥2 次、词库与短语层都没有、且公开语料（LCCC + 中文维基）里出现过（隐私过滤：只在日志里出现的只留在个人词库）。
# 次数是语料次数，与 dict.tsv 词频同一尺度；语料不足 20 次的输入法 / 开发术语（上屏、候选框、模糊音）按 20 计，免得排到最后。读音全部给定（行数 / 长句 / 这俩 是多音字）。词\t次数\t拼音
选哪个	1600	xuan na ge
你帮我看看	1600	ni bang wo kan kan
给点建议	1600	gei dian jian yi
你推荐哪个	1600	ni tui jian na ge
我再看看	1600	wo zai kan kan
先收藏了	1600	xian shou cang le
已经下单了	1600	yi jing xia dan le
到货了	1600	dao huo le
今天干啥	1500	jin tian gan sha
周末干啥	1500	zhou mo gan sha
最近忙啥	1500	zui jin mang sha
有啥新鲜事	1500	you sha xin xian shi
最近怎么样呀	1500	zui jin zen me yang ya
你最近咋样	1500	ni zui jin za yang
今天过得怎么样	1500	jin tian guo de zen me yang
最近还好吗	1500	zui jin hai hao ma
最近在忙什么	1500	zui jin zai mang shen me
有啥安排	1500	you sha an pai
你有什么计划	1500	ni you shen me ji hua
要不要一起	1500	yao bu yao yi qi
有机会一起	1500	you ji hui yi qi
有空出来聚聚	1500	you kong chu lai ju ju
好久没见了	1500	hao jiu mei jian le
有点想你	1500	you dian xiang ni
别客气	1400	bie ke qi
小事一桩	1400	xiao shi yi zhuang
多亏你了	1400	duo kui ni le
太感谢了	1400	tai gan xie le
真谢谢你	1400	zhen xie xie ni
谢谢提醒	1400	xie xie ti xing
谢谢你帮忙	1400	xie xie ni bang mang
麻烦啦	1400	ma fan la
给你添麻烦了	1400	gei ni tian ma fan le
不麻烦	1400	bu ma fan
别放在心上	1400	bie fang zai xin shang
我来处理	1400	wo lai chu li
交给我吧	1400	jiao gei wo ba
需要帮忙吗	1400	xu yao bang mang ma
要我帮你吗	1400	yao wo bang ni ma
有需要说一声	1400	you xu yao shuo yi sheng
端午安康	1300	duan wu an kang
恭喜发财	1300	gong xi fa cai
假期愉快	1300	jia qi yu kuai
平安到家	1300	ping an dao jia
考试加油	1300	kao shi jia you
工作顺利	1300	gong zuo shun li
别太累啦	1300	bie tai lei la
怎么会这样	1200	zen me hui zhe yang
真的假的呀	1200	zhen de jia de ya
你确定吗	1200	ni que ding ma
确定吗	1200	que ding ma
哪一天	1200	na yi tian
几点钟	1200	ji dian zhong
有照片吗	1200	you zhao pian ma
有链接吗	1200	you lian jie ma
教教我	1200	jiao jiao wo
能详细说说吗	1200	neng xiang xi shuo shuo ma
嗯	2600	en
嗯嗯	3000	en en
嗯呐	1500	en na
嗯哼	1300	en heng
嗯啊	900	en a
嗯好	1300	en hao
嗯好的	1200	en hao de
嗯嗯好	900	en en hao
哦哦	2300	o o
哦好	1100	o hao
哦对	1000	o dui
哦是吗	1000	o shi ma
哦这样	900	o zhe yang
噢噢	900	o o
诶	1500	ei
诶诶	800	ei ei
诶不是	800	ei bu shi
哎哎	700	ai ai
唉唉	600	ai ai
啊啊	900	a a
啊哈哈	700	a ha ha
嘻嘻	1000	xi xi
哈哈哈哈	1300	ha ha ha ha
呜呜	1500	wu wu
呜呜呜	800	wu wu wu
哭哭	600	ku ku
咦咦	500	yi yi
对对对	1500	dui dui dui
是是是	1100	shi shi shi
收到收到	900	shou dao shou dao
哦豁	1100	o huo
太巧了	1100	tai qiao le
有点意思	1100	you dian yi si
好好好	1100	hao hao hao
行行行	1100	xing xing xing
懂了懂了	1100	dong le dong le
来了来了	1100	lai le lai le
冲冲冲	1100	chong chong chong
搞定了	1100	gao ding le
搞上	1500	gao shang
搞上了	1100	gao shang le
搞起	1200	gao qi
搞起来	1300	gao qi lai
搞一波	900	gao yi bo
搞一下	1000	gao yi xia
搞点吃的	900	gao dian chi de
搞点喝的	700	gao dian he de
搞点好吃的	800	gao dian hao chi de
搞点什么	700	gao dian shen me
搞好了	1200	gao hao le
搞到了	1000	gao dao le
搞到手了	600	gao dao shou le
搞不定	1000	gao bu ding
搞得定	700	gao de ding
搞清楚	900	gao qing chu
搞明白	800	gao ming bai
搞快点	700	gao kuai dian
安排上	1500	an pai shang
安排上了	1000	an pai shang le
安排一下	1200	an pai yi xia
安排起来	900	an pai qi lai
安排好了	1100	an pai hao le
整上	1200	zheng shang
整上了	900	zheng shang le
整一个	1000	zheng yi ge
整点吃的	800	zheng dian chi de
整点喝的	700	zheng dian he de
整起来	1100	zheng qi lai
整一波	800	zheng yi bo
来一波	1000	lai yi bo
走一波	800	zou yi bo
冲一波	1000	chong yi bo
喝起来	700	he qi lai
玩起来	800	wan qi lai
买起来	700	mai qi lai
看上了	800	kan shang le
用上了	700	yong shang le
吃上了	700	chi shang le
喝上了	600	he shang le
玩上了	600	wan shang le
买上了	600	mai shang le
约上了	700	yue shang le
赶紧安排	800	gan jin an pai
完事了	1100	wan shi le
稳了	1100	wen le
有一说一	1000	you yi shuo yi
不瞒你说	1000	bu man ni shuo
实不相瞒	1000	shi bu xiang man
我寻思着	1000	wo xun si zhe
我琢磨一下	1000	wo zuo mo yi xia
怎么讲呢	1000	zen me jiang ne
怎么说呢	1000	zen me shuo ne
话说回来	1000	hua shuo hui lai
对了对了	1000	dui le dui le
忘了说	1000	wang le shuo
顺便问一下	1000	shun bian wen yi xia
差点忘了	1000	cha dian wang le
说到这个	1000	shuo dao zhe ge
你这么一说	1000	ni zhe me yi shuo
我突然想起来了	1000	wo tu ran xiang qi lai le
我刚想说	1000	wo gang xiang shuo
社恐犯了	900	she kong fan le
太社死了	900	tai she si le
笑不活了	900	xiao bu huo le
绷不住了	900	beng bu zhu le
破防了	900	po fang le
我服了	900	wo fu le
服了你了	900	fu le ni le
太离谱了	900	tai li pu le
绝绝子	900	jue jue zi
有被笑到	900	you bei xiao dao
这谁顶得住	900	zhe shei ding de zhu
真的栓了	900	zhen de shuan le
先溜了	900	xian liu le
摸鱼中	900	mo yu zhong
躺平了	900	tang ping le
上头了	900	shang tou le
朋友圈看到了	800	peng you quan kan dao le
给你点赞了	800	gei ni dian zan le
我给你发微信	800	wo gei ni fa wei xin
微信上说	800	wei xin shang shuo
群里说	800	qun li shuo
私聊你	800	si liao ni
拉我进群	800	la wo jin qun
我发群里了	800	wo fa qun li le
记得看群消息	800	ji de kan qun xiao xi
别忘了回我	800	bie wang le hui wo
看我发的消息	800	kan wo fa de xiao xi
发个表情包	800	fa ge biao qing bao
表情包发我	800	biao qing bao fa wo
这图好好笑	800	zhe tu hao hao xiao
视频发我	800	shi pin fa wo
要不要开黑	700	yao bu yao kai hei
来一局吗	700	lai yi ju ma
游戏打不打	700	you xi da bu da
你上线了吗	700	ni shang xian le ma
我马上上线	700	wo ma shang shang xian
等我开机	700	deng wo kai ji
先打完这局	700	xian da wan zhe ju
下局带我	700	xia ju dai wo
今晚有空打游戏吗	700	jin wan you kong da you xi ma
追剧吗	700	zhui ju ma
这剧好看吗	700	zhe ju hao kan ma
刷到一个视频	700	shua dao yi ge shi pin
这个视频好看	700	zhe ge shi pin hao kan
给你分享一下	700	gei ni fen xiang yi xia
你听过这首歌吗	700	ni ting guo zhe shou ge ma
推荐一首歌	700	tui jian yi shou ge
早餐吃了吗	600	zao can chi le ma
午饭吃了吗	600	wu fan chi le ma
晚饭吃了吗	600	wan fan chi le ma
今天吃啥	600	jin tian chi sha
好久没吃了	600	hao jiu mei chi le
哪家好吃	600	na jia hao chi
地址发我	600	di zhi fa wo
排队的人多吗	600	pai dui de ren duo ma
需要预约吗	600	xu yao yu yue ma
我订好了	600	wo ding hao le
订到位置了	600	ding dao wei zhi le
还有位置吗	600	hai you wei zhi ma
你先点	600	ni xian dian
我快到了	600	wo kuai dao le
我买单	600	wo mai dan
各付各的	600	ge fu ge de
下次我请你	600	xia ci wo qing ni
地铁上了	500	di tie shang le
公交上了	500	gong jiao shang le
打车过去	500	da che guo qu
车有点堵	500	che you dian du
我晚到几分钟	500	wo wan dao ji fen zhong
你先进去	500	ni xian jin qu
我在门口	500	wo zai men kou
我在楼下	500	wo zai lou xia
下楼吧	500	xia lou ba
我出来了	500	wo chu lai le
我看见你了	500	wo kan jian ni le
找到你了	500	zhao dao ni le
没赶上车	500	mei gan shang che
赶上了	500	gan shang le
顺利到家了	500	shun li dao jia le
你先忙	400	ni xian mang
不打扰你了	400	bu da rao ni le
忙完再说	400	mang wan zai shuo
我等你消息	400	wo deng ni xiao xi
有消息告诉我	400	you xiao xi gao su wo
有结果告诉我	400	you jie guo gao su wo
随时联系	400	sui shi lian xi
保持联系	400	bao chi lian xi
记得联系我	400	ji de lian xi wo
回头约	400	hui tou yue
改天再聚	400	gai tian zai ju
下回见	400	xia hui jian
下次见面聊	400	xia ci jian mian liao
今天聊得很开心	400	jin tian liao de hen kai xin
晚点再联系	400	wan dian zai lian xi
喝奶茶吗	3000	he nai cha ma
想喝奶茶	3000	xiang he nai cha
去哪玩	2800	qu na wan
考虑一下	2600	kao lv yi xia
有点焦虑	2000	you dian jiao lv
旅途愉快	1300	lv tu yu kuai
为什么呢	1200	wei shen me ne
有点尴尬	900	you dian gan ga
发微信给我	800	fa wei xin gei wo
睡了吗	6000	shui le ma
忙什么呢	4000	mang shen me ne
回家了吗	5000	hui jia le ma
到哪了	8000	dao na le
好的好的	9000	hao de hao de
改天再说	4000	gai tian zai shuo
电话里说	2000	dian hua li shuo
对的对的	8000	dui de dui de
确实如此	5000	que shi ru ci
看你	8000	kan ni
你定	6000	ni ding
我来我来	3000	wo lai wo lai
哪里哪里	3000	na li na li
过奖了	4000	guo jiang le
慢慢想	3000	man man xiang
来不及了	6000	lai bu ji le
怎么办呢	8000	zen me ban ne
为什么呀	7000	wei shen me ya
有意思吗	5000	you yi si ma
冷死了	9000	leng si le
吓死了	8000	xia si le
好点了吗	3000	hao dian le ma
如何如何	2000	ru he ru he
难怪呢	3000	nan guai ne
不一定吧	4000	bu yi ding ba
好像是吧	3000	hao xiang shi ba
听说了	7000	ting shuo le
不好说	9000	bu hao shuo
以后再说	8000	yi hou zai shuo
回头再说	4000	hui tou zai shuo
下次再说	5000	xia ci zai shuo
回头聊	4000	hui tou liao
先这样吧	6000	xian zhe yang ba
好嘞好嘞	3000	hao lei hao lei
好了好了	7000	hao le hao le
算了算了	7000	suan le suan le
拉倒吧	5000	la dao ba
随便你	7000	sui bian ni
随便啦	4000	sui bian la
凉凉	6000	liang liang
完蛋了	8000	wan dan le
出事了	6000	chu shi le
牛啊	7000	niu a
牛逼	12000	niu bi
怎么回事儿	6000	zen me hui shi er
搞什么	6000	gao shen me
干啥呢	7000	gan sha ne
咋回事	7000	za hui shi
咋回事儿	4000	za hui shi er
别难过	2400	bie nan guo
有点难过	2000	you dian nan guo
我发你了	1800	wo fa ni le
必须安排	800	bi xu an pai
可能会晚点	500	ke neng hui wan dian
慢慢过来	500	man man guo lai
